"","Authors","metric","subgroup","CN","EN","yi","vi","stats","Protocol"
"18","Gubert et al. 2022","Chao1.Chao1","WT_control",8,8,0.539711761298111,0.17842744976341,"lnCVR","Gubert"
"19","Ibrahim et al. 2019","Chao1.Chao1","AOM/DSS",7,3,0.38159218033483,0.487448635786701,"lnCVR","Ibrahim"
"20","Ibrahim et al. 2019","Chao1.Chao1","AOM/DSS-ERbKOVil",7,6,-0.123142894289489,0.222276328386546,"lnCVR","Ibrahim"
"21","Ibrahim et al. 2019","Chao1.Chao1","Control",4,4,0.191486097563837,0.460762094707882,"lnCVR","Ibrahim"
"22","Ibrahim et al. 2019","Chao1.Chao1","Control-ERbKOVil",4,4,-0.186316525220574,0.466027267707042,"lnCVR","Ibrahim"
"23","Kozik et al. 2019","Chao1.Chao1","Colitis-cecal",7,7,0.745612614159063,0.215490812513825,"lnCVR","Kozik"
"24","Kozik et al. 2019","Chao1.Chao1","Colitis-colonMucus",5,4,0.614316583369086,0.416376002091716,"lnCVR","Kozik"
"25","Kozik et al. 2019","Chao1.Chao1","Colitis-colonMucus_T0",1,NA,NA,NA,"lnCVR","Kozik"
"26","Kozik et al. 2019","Chao1.Chao1","Colitis-fecal",5,7,-0.087121605517369,0.307758306169539,"lnCVR","Kozik"
"27","Kozik et al. 2019","Chao1.Chao1","Colitis-fecal_T0",7,7,-0.483677601086594,0.230147187726814,"lnCVR","Kozik"
"28","Kozik et al. 2019","Chao1.Chao1","Control-cecal",2,3,0.448392918309144,1.5984143796455,"lnCVR","Kozik"
"29","Kozik et al. 2019","Chao1.Chao1","Control-colonMucus",NA,3,NA,NA,"lnCVR","Kozik"
"30","Kozik et al. 2019","Chao1.Chao1","Control-fecal",2,3,-1.18278489389199,1.40102188357559,"lnCVR","Kozik"
"31","Kozik et al. 2019","Chao1.Chao1","Control-fecal_T0",2,3,-2.19036761003292,1.50072854125955,"lnCVR","Kozik"
"32","Li et al. 2020","Chao1.Chao1","Chow diet + STZ injection+ Distilled water ",5,1,NA,NA,"lnCVR","Li"
"33","Li et al. 2020","Chao1.Chao1","HFD+ STZ injection + DNJ",1,9,NA,NA,"lnCVR","Li"
"34","Li et al. 2020","Chao1.Chao1","HFD+ STZ injection+ Distilled water",NA,3,NA,NA,"lnCVR","Li"
"35","Lindheim et al. 2018","Chao1.Chao1","PRJNA445979",76,93,0.260336186291661,0.0133424459443049,"lnCVR","Lindheim"
"36","Lyte et al. 2022","Chao1.Chao1","beef-chow",18,19,-0.14395015155597,0.0707471233345794,"lnCVR","Lyte"
"37","Lyte et al. 2022","Chao1.Chao1","beef-chow-stress",18,20,0.188216013548715,0.0653666047807282,"lnCVR","Lyte"
"38","Lyte et al. 2022","Chao1.Chao1","chow-control",20,19,-0.135078646874721,0.060879070959314,"lnCVR","Lyte"
"39","Lyte et al. 2022","Chao1.Chao1","chow-stress",20,20,0.0173485594332209,0.0608740240498198,"lnCVR","Lyte"
"40","Pizarro et al. 2021","Chao1.Chao1","EtOH-Syn-T1",10,8,-0.241055418588903,0.148637826083687,"lnCVR","Pizarro"
"41","Pizarro et al. 2021","Chao1.Chao1","EtOH-T1",10,8,0.637372490158307,0.146217279536631,"lnCVR","Pizarro"
"42","Pizarro et al. 2021","Chao1.Chao1","Symbiotic-T0",10,8,0.292349023152109,0.14641041972624,"lnCVR","Pizarro"
"43","Pizarro et al. 2021","Chao1.Chao1","Water-T0",10,8,0.105643380827138,0.145600959523751,"lnCVR","Pizarro"
"44","Ramakrishna et al. 2020","Chao1.Chao1","ACV+IVIG-injected",1,4,NA,NA,"lnCVR","Ramakrishna"
"45","Ramakrishna et al. 2020","Chao1.Chao1","ACV-injected",3,2,-0.242409833221365,1.43333931792252,"lnCVR","Ramakrishna"
"46","Ramakrishna et al. 2020","Chao1.Chao1","Control",2,3,-1.05326971785438,1.45088064004697,"lnCVR","Ramakrishna"
"47","Ramakrishna et al. 2020","Chao1.Chao1","HSV1-infected",4,5,0.743157234191956,0.40781512551764,"lnCVR","Ramakrishna"
"48","Ramakrishna et al. 2020","Chao1.Chao1","HSV1-infected; ACV+IVIG-injected",2,3,NA,1.39561640982924,"lnCVR","Ramakrishna"
"49","Ramakrishna et al. 2020","Chao1.Chao1","HSV1-infected; ACV-injected",1,1,NA,NA,"lnCVR","Ramakrishna"
"50","Ramakrishna et al. 2020","Chao1.Chao1","HSV1-infected; IVIG-injected",3,1,NA,NA,"lnCVR","Ramakrishna"
"51","Ramakrishna et al. 2020","Chao1.Chao1","IVIG-injected",5,5,0.882903956067315,0.34933055758432,"lnCVR","Ramakrishna"
"52","Son et al. 2019","Chao1.Chao1","Control",8,8,-0.260457014081738,0.193258975930569,"lnCVR","Son"
"53","Son et al. 2019","Chao1.Chao1","IL-10 Knockout ",8,8,0.433057018571196,0.192335317354738,"lnCVR","Son"
"54","Song et al. 2020","Chao1.Chao1","AOM/DSS",12,NA,NA,NA,"lnCVR","Song"
"55","Song et al. 2020","Chao1.Chao1","AOM/DSS E2-supplemented",12,NA,NA,NA,"lnCVR","Song"
"56","Song et al. 2020","Chao1.Chao1","Control",5,11,-0.456922231027539,0.246297103853117,"lnCVR","Song"
"57","Song et al. 2020","Chao1.Chao1","E2-supplemented",12,NA,NA,NA,"lnCVR","Song"
"58","Song et al. 2020","Chao1.Chao1","ovariectomized ",NA,7,NA,NA,"lnCVR","Song"
"59","Song et al. 2021","Chao1.Chao1","AOM/DSS",8,8,0.300788130526406,0.19085423200024,"lnCVR","Song"
"60","Song et al. 2021","Chao1.Chao1","AOM/DSS-Nrf2KO",8,8,0.502912938456469,0.172120194394518,"lnCVR","Song"
"61","Song et al. 2021","Chao1.Chao1","Control",8,8,0.615383275655417,0.202419320300538,"lnCVR","Song"
"62","Song et al. 2021","Chao1.Chao1","Nrf2KO",8,8,0.282008206801253,0.177592036475966,"lnCVR","Song"
"63","Song et al. 2022","Chao1.Chao1","AOM/DSS",10,7,0.263576562813793,0.163926121546715,"lnCVR","Song"
"64","Song et al. 2022","Chao1.Chao1","AOM/DSS_ steroid-injected",8,4,-0.189540652832882,0.312234447289916,"lnCVR","Song"
"65","Song et al. 2022","Chao1.Chao1","Control",4,4,2.69125351766235,0.470496857141942,"lnCVR","Song"
"66","Song et al. 2022","Chao1.Chao1","orchiectomized",4,NA,NA,NA,"lnCVR","Song"
"67","Song et al. 2022","Chao1.Chao1","orchiectomized_ AOM/DSS",10,NA,NA,NA,"lnCVR","Song"
"68","Song et al. 2022","Chao1.Chao1","orchiectomized_ AOM/DSS_ steroid-injected",6,NA,NA,NA,"lnCVR","Song"
"69","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day0_Control",20,3,0.0391234785142241,0.433770176994415,"lnCVR","Strickland"
"70","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day111_Control",10,NA,NA,NA,"lnCVR","Strickland"
"71","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day14_Control",10,3,-0.0207638792964248,0.515336052000213,"lnCVR","Strickland"
"72","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day21_Control",10,3,0.219251675349401,0.459157418198147,"lnCVR","Strickland"
"73","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day28_Control",10,3,-0.31790484800368,0.449659105194203,"lnCVR","Strickland"
"74","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day34_Control",10,NA,NA,NA,"lnCVR","Strickland"
"75","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day4_Control",10,NA,NA,NA,"lnCVR","Strickland"
"76","Strickland et al. 2021","Chao1.Chao1","Sigmodon_fulviventer_Fecal_day7_Control",10,3,0.0232963102691036,0.462103100267946,"lnCVR","Strickland"
"77","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day0_Control",15,9,-0.708897239275778,0.118193478039694,"lnCVR","Strickland"
"78","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day111_Control",10,NA,NA,NA,"lnCVR","Strickland"
"79","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day14_Control",5,9,0.00713110184459137,0.249453848800804,"lnCVR","Strickland"
"80","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day21_Control",5,9,0.991451636581404,0.258725521517281,"lnCVR","Strickland"
"81","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day28_Control",5,9,1.64631650147309,0.260031476039333,"lnCVR","Strickland"
"82","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day34_Control",9,NA,NA,NA,"lnCVR","Strickland"
"83","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day4_Control",10,NA,NA,NA,"lnCVR","Strickland"
"84","Strickland et al. 2021","Chao1.Chao1","Sigmodon_hispidus_Fecal_day7_Control",5,9,0.595953977955555,0.240646999677406,"lnCVR","Strickland"
"85","Sun et al. 2020","Chao1.Chao1","Control",8,8,-0.399910728723249,0.174550740502217,"lnCVR","Sun"
"86","Sun et al. 2020","Chao1.Chao1","High fat",8,7,-0.190782147781404,0.186153125030958,"lnCVR","Sun"
"87","Sun et al. 2020","Chao1.Chao1","Pomctm1/tm1",8,8,0.620460293036417,0.171930762887493,"lnCVR","Sun"
"88","Sun et al. 2020","Chao1.Chao1","Pomctm1/tm1, High fat",8,7,-0.0120518540665156,0.192132599574815,"lnCVR","Sun"
"89","Tam et al. 2020","Chao1.Chao1","""Smoke exposed, ovariectomy""_cecal",NA,8,NA,NA,"lnCVR","Tam"
"90","Tam et al. 2020","Chao1.Chao1","Control_cecal",10,10,-0.355729856758599,0.132647913389257,"lnCVR","Tam"
"91","Tam et al. 2020","Chao1.Chao1","Smoke exposed_cecal",10,10,-0.327326822284106,0.127029136260542,"lnCVR","Tam"
"92","Tam et al. 2020","Chao1.Chao1","ovariectomy_cecal",NA,10,NA,NA,"lnCVR","Tam"
"93","Tashiro et al. 2020","Chao1.Chao1","Cellulose",8,8,-0.65167325071634,0.168454428597116,"lnCVR","Tashiro"
"94","Tashiro et al. 2020","Chao1.Chao1","Control",8,8,0.185708625633813,0.168697671413916,"lnCVR","Tashiro"
"95","Tashiro et al. 2020","Chao1.Chao1","Fiberfree",8,8,0.0487868323824821,0.168346351034956,"lnCVR","Tashiro"
"96","Tashiro et al. 2020","Chao1.Chao1","Pectin",8,8,-0.283960072588687,0.195736949974704,"lnCVR","Tashiro"
"97","Velasco et al. 2021","Chao1.Chao1","C57BL/6J",4,4,1.05930795489877,0.454002447554494,"lnCVR","Velasco"
"98","Velasco et al. 2021","Chao1.Chao1","MRL/MpJ",4,4,-0.194261242199117,0.454992244812162,"lnCVR","Velasco"
"99","Weng et al. 2019","Chao1.Chao1","APOE2_APP transgene +",6,11,0.202381093757541,0.177965708304713,"lnCVR","Weng"
"100","Weng et al. 2019","Chao1.Chao1","APOE2_APP transgene -",16,18,-0.0596055410743831,0.071068860301704,"lnCVR","Weng"
"101","Weng et al. 2019","Chao1.Chao1","APOE3_APP transgene +",13,21,0.0664792367839111,0.083881197986477,"lnCVR","Weng"
"102","Weng et al. 2019","Chao1.Chao1","APOE3_APP transgene -",20,15,-0.239905589018601,0.112629065852659,"lnCVR","Weng"
"103","Weng et al. 2019","Chao1.Chao1","APOE4_APP transgene +",19,24,0.0583556087443117,0.0648718190132081,"lnCVR","Weng"
"104","Weng et al. 2019","Chao1.Chao1","APOE4_APP transgene -",32,24,0.018990224113539,0.0591493518317771,"lnCVR","Weng"
"105","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_CRC_SFB+_cecal",1,7,NA,NA,"lnCVR","Wolfe"
"106","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_CRC_SFB+_fecal",10,68,0.814319911801134,0.0778450078524012,"lnCVR","Wolfe"
"107","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_CRC_SFB-_cecal",2,7,0.856697670697905,1.11950311363753,"lnCVR","Wolfe"
"108","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_CRC_SFB-_fecal",34,83,-0.00581141793236088,0.0310012652357588,"lnCVR","Wolfe"
"109","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_healthy_SFB+_cecal",15,5,-0.470346375868637,0.207194085906894,"lnCVR","Wolfe"
"110","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_healthy_SFB+_fecal",156,49,0.329187911417294,0.0176412950965487,"lnCVR","Wolfe"
"111","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_healthy_SFB-_cecal",15,10,0.428502548385997,0.14952754003489,"lnCVR","Wolfe"
"112","Wolfe et al. 2020","Chao1.Chao1","Smad3-/-_healthy_SFB-_fecal",158,135,0.430470439233061,0.0108710604886928,"lnCVR","Wolfe"
"113","Zajac et al. 2022","Chao1.Chao1","APOE2/E2_cecal",5,6,-0.526019462904107,0.281293415986028,"lnCVR","Zajac"
"114","Zajac et al. 2022","Chao1.Chao1","APOE2/E2_fecal",15,21,0.105092063760262,0.0690877059352766,"lnCVR","Zajac"
"115","Zajac et al. 2022","Chao1.Chao1","APOE2/E2_small bowel",2,3,1.57202803619728,1.43888083224498,"lnCVR","Zajac"
"116","Zajac et al. 2022","Chao1.Chao1","APOE2/E3_cecal",7,10,-0.208055690518162,0.161024966745655,"lnCVR","Zajac"
"117","Zajac et al. 2022","Chao1.Chao1","APOE2/E3_fecal",21,36,0.304443603657754,0.0424607767135089,"lnCVR","Zajac"
"118","Zajac et al. 2022","Chao1.Chao1","APOE2/E3_small bowel",1,NA,NA,NA,"lnCVR","Zajac"
"119","Zajac et al. 2022","Chao1.Chao1","APOE2_fecal",8,7,0.335053374670051,0.182068028146997,"lnCVR","Zajac"
"120","Zajac et al. 2022","Chao1.Chao1","APOE3/E3_cecal",13,5,-0.330287602388773,0.203510404682556,"lnCVR","Zajac"
"121","Zajac et al. 2022","Chao1.Chao1","APOE3/E3_fecal",41,15,0.0364817881495127,0.0577335145575542,"lnCVR","Zajac"
"122","Zajac et al. 2022","Chao1.Chao1","APOE3/E3_small bowel",4,2,-0.626908833850567,1.27395530760134,"lnCVR","Zajac"
"123","Zajac et al. 2022","Chao1.Chao1","APOE3/E4_cecal",10,8,-0.285631550929786,0.145122890962724,"lnCVR","Zajac"
"124","Zajac et al. 2022","Chao1.Chao1","APOE3/E4_fecal",32,23,0.102342367447171,0.0420878035045992,"lnCVR","Zajac"
"125","Zajac et al. 2022","Chao1.Chao1","APOE3/E4_small bowel",NA,1,NA,NA,"lnCVR","Zajac"
"126","Zajac et al. 2022","Chao1.Chao1","APOE3_fecal",6,7,-0.368006594753602,0.228307274022743,"lnCVR","Zajac"
"127","Zajac et al. 2022","Chao1.Chao1","APOE4/E4_cecal",5,4,-1.11784016925154,0.382116965869701,"lnCVR","Zajac"
"128","Zajac et al. 2022","Chao1.Chao1","APOE4/E4_fecal",15,19,-0.101858713493154,0.0760357827416567,"lnCVR","Zajac"
"129","Zajac et al. 2022","Chao1.Chao1","APOE4/E4_small bowel",3,3,-0.357307516005444,0.768155982649435,"lnCVR","Zajac"
"130","Zajac et al. 2022","Chao1.Chao1","APOE4_fecal",7,7,-0.687767570438633,0.206426143015074,"lnCVR","Zajac"
"131","Zou et al. 2021","Chao1.Chao1","Control",4,4,0.210002607575668,0.450587392647842,"lnCVR","Zou"
"132","Zou et al. 2021","Chao1.Chao1","Glrx1 KO + High fat chow",4,4,0.509544008622266,0.448961198347972,"lnCVR","Zou"
"133","Zou et al. 2021","Chao1.Chao1","Glrx1 KO + Standard chow",2,3,1.23013960440252,1.37790482425939,"lnCVR","Zou"
"134","Zou et al. 2021","Chao1.Chao1","High fat chow",5,5,0.280655141641766,0.316637873531131,"lnCVR","Zou"
"135","Cheema & Pluznick 2019","Evenness","Ang II infusion",3,3,-0.233399528176038,0.755046133501089,"lnCVR","Cheema"
"136","Cheema & Pluznick 2019","Evenness","Control",3,3,-0.106369548852766,0.77040876954771,"lnCVR","Cheema"
"137","Ellis et al. 2021","Evenness","13C11MK4_cecal",7,7,-0.73908349613151,0.195068961799022,"lnCVR","Ellis"
"138","Ellis et al. 2021","Evenness","2H7MK7_cecal",7,7,-0.174084583883605,0.194904475930717,"lnCVR","Ellis"
"139","Ellis et al. 2021","Evenness","2H7MK9_cecal",7,7,0.0317547354577767,0.194716950990762,"lnCVR","Ellis"
"140","Ellis et al. 2021","Evenness","2H7PK_cecal",7,7,-0.866569803509258,0.195266119864956,"lnCVR","Ellis"
"141","Ellis et al. 2021","Evenness","Combo_cecal",10,9,-0.699185053521388,0.132364029753022,"lnCVR","Ellis"
"142","Ellis et al. 2021","Evenness","Control (unlabeled PK)_cecal",7,7,-0.480186882595982,0.194717400054493,"lnCVR","Ellis"
"143","Ellis et al. 2021","Evenness","MK4_cecal",10,10,-0.083562683139326,0.123793450426164,"lnCVR","Ellis"
"144","Ellis et al. 2021","Evenness","MK9_cecal",9,9,-0.504287448964622,0.140918629545337,"lnCVR","Ellis"
"145","Ellis et al. 2021","Evenness","PK_cecal",10,9,-0.311968296647757,0.132346367849237,"lnCVR","Ellis"
"146","Ellis et al. 2021","Evenness","VKdef_cecal",8,9,-0.134568106386095,0.152275231007419,"lnCVR","Ellis"
"147","Gubert et al. 2022","Evenness","R6/1_Enviromental enrichment ",8,7,0.186964344359094,0.183087256514552,"lnCVR","Gubert"
"148","Gubert et al. 2022","Evenness","R6/1_Exercise",8,8,0.826489215420054,0.166510330386244,"lnCVR","Gubert"
"149","Gubert et al. 2022","Evenness","R6/1_control",8,8,0.176027704862874,0.167358794302272,"lnCVR","Gubert"
"150","Gubert et al. 2022","Evenness","WT_Enviromental enrichment ",8,8,-0.131222521232849,0.168622496078693,"lnCVR","Gubert"
"151","Gubert et al. 2022","Evenness","WT_Exercise",8,8,-0.324095507670444,0.165365633104934,"lnCVR","Gubert"
"152","Gubert et al. 2022","Evenness","WT_control",8,8,-0.0662833561778216,0.171650665811309,"lnCVR","Gubert"
"153","Ibrahim et al. 2019","Evenness","AOM/DSS",7,3,0.412065142490967,0.475336209089025,"lnCVR","Ibrahim"
"154","Ibrahim et al. 2019","Evenness","AOM/DSS-ERbKOVil",7,6,0.372552203091007,0.21812212972003,"lnCVR","Ibrahim"
"155","Ibrahim et al. 2019","Evenness","Control",4,4,-0.785941106911218,0.447483676086923,"lnCVR","Ibrahim"
"156","Ibrahim et al. 2019","Evenness","Control-ERbKOVil",4,4,0.785101214893236,0.445485387098417,"lnCVR","Ibrahim"
"157","Kozik et al. 2019","Evenness","Colitis-cecal",7,7,0.586306915034017,0.19579297523374,"lnCVR","Kozik"
"158","Kozik et al. 2019","Evenness","Colitis-colonMucus",5,4,0.963335958475574,0.385154604734385,"lnCVR","Kozik"
"159","Kozik et al. 2019","Evenness","Colitis-colonMucus_T0",1,NA,NA,NA,"lnCVR","Kozik"
"160","Kozik et al. 2019","Evenness","Colitis-fecal",5,7,-0.160763757413426,0.256993574912734,"lnCVR","Kozik"
"161","Kozik et al. 2019","Evenness","Colitis-fecal_T0",7,7,-0.336112319032816,0.199151575325245,"lnCVR","Kozik"
"162","Kozik et al. 2019","Evenness","Control-cecal",2,3,0.1572360170046,1.3768853327138,"lnCVR","Kozik"
"163","Kozik et al. 2019","Evenness","Control-colonMucus",NA,3,NA,NA,"lnCVR","Kozik"
"164","Kozik et al. 2019","Evenness","Control-fecal",2,3,1.76597937553604,1.4115375837132,"lnCVR","Kozik"
"165","Kozik et al. 2019","Evenness","Control-fecal_T0",2,3,-0.113462522536776,1.38406770701511,"lnCVR","Kozik"
"166","Li et al. 2020","Evenness","Chow diet + STZ injection+ Distilled water ",5,1,NA,NA,"lnCVR","Li"
"167","Li et al. 2020","Evenness","HFD+ STZ injection + DNJ",1,9,NA,NA,"lnCVR","Li"
"168","Li et al. 2020","Evenness","HFD+ STZ injection+ Distilled water",NA,3,NA,NA,"lnCVR","Li"
"169","Lindheim et al. 2018","Evenness","PRJNA445979",76,93,0.143615705181379,0.0132189808488891,"lnCVR","Lindheim"
"170","Lyte et al. 2022","Evenness","beef-chow",18,19,0.335977400709882,0.0608730952516651,"lnCVR","Lyte"
"171","Lyte et al. 2022","Evenness","beef-chow-stress",18,20,0.0227395024983261,0.0592386872277324,"lnCVR","Lyte"
"172","Lyte et al. 2022","Evenness","chow-control",20,19,-0.870856637598384,0.0578895293274163,"lnCVR","Lyte"
"173","Lyte et al. 2022","Evenness","chow-stress",20,20,-0.173987064921168,0.0559436103654186,"lnCVR","Lyte"
"174","Pizarro et al. 2021","Evenness","EtOH-Syn-T1",10,8,-0.560258977013318,0.143644576158106,"lnCVR","Pizarro"
"175","Pizarro et al. 2021","Evenness","EtOH-T1",10,8,0.557243718764799,0.144442162006967,"lnCVR","Pizarro"
"176","Pizarro et al. 2021","Evenness","Symbiotic-T0",10,8,0.585339664774266,0.143892613987976,"lnCVR","Pizarro"
"177","Pizarro et al. 2021","Evenness","Water-T0",10,8,0.195119655277742,0.143943531321383,"lnCVR","Pizarro"
"178","Ramakrishna et al. 2020","Evenness","ACV+IVIG-injected",1,4,NA,NA,"lnCVR","Ramakrishna"
"179","Ramakrishna et al. 2020","Evenness","ACV-injected",3,2,0.573266882871043,1.39520188489348,"lnCVR","Ramakrishna"
"180","Ramakrishna et al. 2020","Evenness","Control",2,3,0.0192757600181734,1.37651110859726,"lnCVR","Ramakrishna"
"181","Ramakrishna et al. 2020","Evenness","HSV1-infected",4,5,-0.764326160451531,0.379750177568519,"lnCVR","Ramakrishna"
"182","Ramakrishna et al. 2020","Evenness","HSV1-infected; ACV+IVIG-injected",2,3,0.777579305769851,1.37792894576232,"lnCVR","Ramakrishna"
"183","Ramakrishna et al. 2020","Evenness","HSV1-infected; ACV-injected",1,1,NA,NA,"lnCVR","Ramakrishna"
"184","Ramakrishna et al. 2020","Evenness","HSV1-infected; IVIG-injected",3,1,NA,NA,"lnCVR","Ramakrishna"
"185","Ramakrishna et al. 2020","Evenness","IVIG-injected",5,5,1.03191996018746,0.314336142703342,"lnCVR","Ramakrishna"
"186","Son et al. 2019","Evenness","Control",8,8,1.96737525116275,0.173757874422517,"lnCVR","Son"
"187","Son et al. 2019","Evenness","IL-10 Knockout ",8,8,-0.869129824155897,0.172617664562549,"lnCVR","Son"
"188","Song et al. 2020","Evenness","AOM/DSS",12,NA,NA,NA,"lnCVR","Song"
"189","Song et al. 2020","Evenness","AOM/DSS E2-supplemented",12,NA,NA,NA,"lnCVR","Song"
"190","Song et al. 2020","Evenness","Control",5,11,-0.765510481952575,0.214753816428612,"lnCVR","Song"
"191","Song et al. 2020","Evenness","E2-supplemented",12,NA,NA,NA,"lnCVR","Song"
"192","Song et al. 2020","Evenness","ovariectomized ",NA,7,NA,NA,"lnCVR","Song"
"193","Song et al. 2021","Evenness","AOM/DSS",8,8,0.168219975023688,0.178774759239889,"lnCVR","Song"
"194","Song et al. 2021","Evenness","AOM/DSS-Nrf2KO",8,8,0.188605773645332,0.178104908015746,"lnCVR","Song"
"195","Song et al. 2021","Evenness","Control",8,8,1.80568942389183,0.180934441931578,"lnCVR","Song"
"196","Song et al. 2021","Evenness","Nrf2KO",8,8,-0.0134561200396066,0.170522207479047,"lnCVR","Song"
"197","Song et al. 2022","Evenness","AOM/DSS",10,7,0.483395268937032,0.168434692691927,"lnCVR","Song"
"198","Song et al. 2022","Evenness","AOM/DSS_ steroid-injected",8,4,0.525312218989673,0.320581019932385,"lnCVR","Song"
"199","Song et al. 2022","Evenness","Control",4,4,-0.420019130017876,0.451033169630871,"lnCVR","Song"
"200","Song et al. 2022","Evenness","orchiectomized",4,NA,NA,NA,"lnCVR","Song"
"201","Song et al. 2022","Evenness","orchiectomized_ AOM/DSS",10,NA,NA,NA,"lnCVR","Song"
"202","Song et al. 2022","Evenness","orchiectomized_ AOM/DSS_ steroid-injected",6,NA,NA,NA,"lnCVR","Song"
"203","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day0_Control",20,3,-1.20946895491009,0.403115925595827,"lnCVR","Strickland"
"204","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day111_Control",10,NA,NA,NA,"lnCVR","Strickland"
"205","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day14_Control",10,3,-1.223175361365,0.43679286572951,"lnCVR","Strickland"
"206","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day21_Control",10,3,-0.0370045027513541,0.437075869159215,"lnCVR","Strickland"
"207","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day28_Control",10,3,-0.496079419385955,0.436986551998958,"lnCVR","Strickland"
"208","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day34_Control",10,NA,NA,NA,"lnCVR","Strickland"
"209","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day4_Control",10,NA,NA,NA,"lnCVR","Strickland"
"210","Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day7_Control",10,3,-1.05899756212062,0.4379158036961,"lnCVR","Strickland"
"211","Strickland et al. 2021","Evenness","Sigmodon_hispidus_Fecal_day0_Control",15,9,0.713004122461204,0.109819423250467,"lnCVR","Strickland"
